labels,entities
"['Position', 'Position', 'Work Activity', 'Solution', 'Soft Skill', 'Solution']","['idhr office', 'project coordinator', 'microsoft office', 'administrative assistant', 'communication skills', 'planning']"
"['Position', 'Soft Skill', 'Industry', 'Management']","['manager', 'management', 'team work', 'logistics']"
"['Position', 'Academic Discipline', 'Academic Discipline', 'Position', 'Academic Discipline', 'Academic Discipline', 'Academic Discipline', 'Academic Discipline', 'Academic Discipline', 'Academic Discipline']","['consultant', 'analysis', 'mathematics', 'teamwork', 'statistics', 'government', 'software', 'probability theory', 'leadership', 'interpersonal skills']"
"['Position', 'Position', 'Position', 'Industry', 'Education Level', 'Work Activity', 'Work Activity', 'Soft Skill', 'Soft Skill']","['masters degree', 'director', 'communication skills', 'program manager', 'government', 'organizing', 'planning', 'presentation', 'excel']"
"['Position', 'Position', 'Industry', 'Academic Discipline', 'Industry', 'Management', 'Business Function', 'Soft Skill', 'Management', 'Soft Skill']","['organizational skills', 'market research', 'team working', 'energy', 'analysis', 'sales', 'comunication skills', 'chief marketing specialist', 'leadership', 'management']"
"['Industry', 'Industry', 'Position']","['manager', ""bachelor's degree"", 'automotive']"
"['Position', 'Management']","['manager', 'management']"
"['Position', 'Position']","['designer', 'illustrator']"
"['Position', 'Industry', 'Education Level', 'Solution', 'Solution']","['university degree', 'ms office', 'autocad', 'electrical engineer', 'telecom']"
"['Industry', 'Industry', 'Education Level', 'Solution', 'Solution']","['university degree', 'ms ofice', 'telecommunication', 'autocad', 'telecom']"
"['Position', 'Industry', 'Education Level', 'Solution']","['ms office', 'university degree', 'telecommunications engineer', 'telecom']"
"['Position', 'Position', 'Solution']","['high art school diploma', 'designer', 'photoshop']"
"['Position', 'Position']","['designer', 'director']"
['Industry'],['sales']
"['Work Activity', 'Soft Skill', 'Competency', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Business Function', 'Industry']","['c', 'java', 'responsibility', 'programming languages', 'python', 'software development', 'perl', 'software', 'c#', 'planning', 'ruby', 'c++']"
"['Position', 'Academic Discipline', 'Academic Discipline', 'Academic Discipline', 'Solution']","['heating engineering', 'designer', 'communication skills', 'ms office', 'autocad']"
"['Management', 'Management', 'Management', 'Management', 'Management', 'Soft Skill', 'Management', 'Academic Discipline', 'Management', 'Position', 'Position', 'Position', 'Industry', 'Academic Discipline', 'Soft Skill', 'Management']","['knowledge management', 'energy', 'analysis', 'manager', 'constructive attitude', 'university degree', 'ms word', 'leadership', 'written communication', 'software', 'banking', 'financial services', 'adaptability', 'presentation', 'excel', 'management']"
"['Industry', 'Position', 'Position', 'Position', 'Management', 'Industry', 'Soft Skill', 'Soft Skill', 'Academic Discipline', 'Management', 'Competency', 'Management', 'Industry', 'Soft Skill', 'Soft Skill', 'Education Level']","['knowledge management', 'energy', 'administrative support', 'manager', 'constructive attitude', 'university degree', 'ms word', 'leadership', 'written communication', 'data processing', 'software', 'financial services', 'adaptability', 'presentation', 'excel', 'management']"
"['Industry', 'Position', 'Management', 'Management', 'Management', 'Soft Skill', 'Work Activity', 'Position', 'Management', 'Management', 'Industry', 'Industry', 'Academic Discipline', 'Soft Skill', 'Soft Skill', 'Academic Discipline', 'Management']","['knowledge management', 'energy', 'administrative support', 'analysis', 'constructive attitude', 'university degree', 'ms word', 'leadership', 'written communication', 'government', 'software', 'planning', 'financial services', 'adaptability', 'presentation', 'excel', 'management']"
['Academic Discipline'],['linguistics']
"['Industry', 'Academic Discipline', 'Management', 'Soft Skill', 'Competency', 'Academic Discipline', 'Business Function', 'Business Function', 'Programming Language', 'Programming Language', 'Solution', 'Database', 'Database', 'Framework/Library', 'Industry']","['information technology', 'sql server', 'analysis', 'responsibility', 'system administration', 'quality assurance', 'relational database', 'c++', 'software development', 'software', 'visual studio', '.net framework', 'sql', 'leadership', 'software development lifecycle']"
"['Position', 'Academic Discipline', 'Education Level', 'Soft Skill', 'Platform', 'Platform', 'Solution', 'Competency', 'Work Activity', 'Framework/Library', 'Programming Language', 'Standard/Technology', 'Academic Discipline', 'Industry']","['asp', 'programming', 'jsp', 'web master', 'web design', 'multimedia', 'windows', 'php', 'communication skills', 'ms office', 'database structures', 'software', 'bachelors degree', 'mac os']"
"['Academic Discipline', 'Academic Discipline', 'Competency']","['linguistics', 'text processing', 'computer specialist-designer']"
"['Position', 'Position', 'Academic Discipline', 'Competency', 'Academic Discipline', 'Education Level', 'Business Function', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Competency', 'Competency', 'Solution']","['css', 'web design', 'multimedia', 'web development', 'php', 'statistics', 'flash', 'html', 'bachelors degree', 'javascript', 'scripting languages', 'senior web developer', 'adobe photoshop', 'illustrator']"
"['Position', 'Position', 'Academic Discipline', 'Education Level', 'Soft Skill', 'Platform', 'Platform', 'Solution', 'Business Function', 'Competency', 'Competency', 'Competency']","['designer', 'web design', 'computer graphics', 'windows', 'graphic design', 'communication skills', 'computer design', 'ms office', 'website development', 'optimization', 'bachelors degree', 'mac os']"
"['Position', 'Position', 'Industry', 'Industry', 'Academic Discipline', 'Industry', 'Industry', 'Education Level']","['sales manager', 'human resources', 'analysis', 'sales', 'negotiation', 'university degree', 'ms word', 'excel']"
"['Academic Discipline', 'Programming Language', 'Position', 'Industry', 'Programming Language', 'Programming Language', 'Programming Language']","['programmer', 'mysql', 'xml', 'logic', 'php', 'html', 'technology']"
"['Academic Discipline', 'Solution', 'Solution']","['logic', 'flash', 'html']"
"['Position', 'Soft Skill']","['receptionist', 'communication skills']"
['Position'],['accountant']
"['Position', 'Education Level']","['administrative assistant', 'univertity degree']"
"['Management', 'Academic Discipline', 'Industry', 'Industry', 'Academic Discipline', 'Academic Discipline', 'Business Function']","['hr', 'analysis', 'military', 'statistics', 'financial intelligence', 'banking', 'management']"
"['Management', 'Soft Skill', 'Industry', 'Industry', 'Business Function', 'Management']","['hr', 'responsibility', 'military', 'financial intelligence', 'banking', 'management']"
"['Position', 'Position', 'Management', 'Academic Discipline', 'Management', 'Competency', 'Business Function', 'Work Activity', 'Industry', 'Management', 'Programming Language']","['programming', 'hr', 'analysis', 'manager', 'military', 'software development', 'financial intelligence', 'banking', 'data analysis', 'sql', 'management']"
"['Management', 'Management', 'Business Function', 'Management', 'Business Function']","['organizational skills', 'hr', 'military', 'financial intelligence', 'management']"
"['Academic Discipline', 'Academic Discipline', 'Soft Skill', 'Management']","['organizational skills', 'excel', 'pharmacy', 'communication skills']"
"['Education Level', 'Soft Skill', 'Management', 'Academic Discipline', 'Management', 'Soft Skill', 'Management', 'Soft Skill', 'Management', 'Soft Skill', 'Soft Skill']","['organizational skills', 'team working', 'conflict management', 'project management', 'university degree', 'mental health', 'social skills', 'listening', 'leadership', 'management', 'social work']"
"['Position', 'Industry', 'Position', 'Work Activity', 'Academic Discipline', 'Academic Discipline', 'Industry', 'Work Activity', 'Management', 'Management', 'Academic Discipline']","['knowledge management', 'information technology', 'masters degree', 'analysis', 'director', 'responsibility', 'written and oral communication', 'government', 'software', 'planning', 'management']"
"['Industry', 'Position', 'Position', 'Soft Skill', 'Industry']","['communication skills', 'organizing', 'front desk clerk', 'management', 'hospitality']"
"['Industry', 'Position', 'Soft Skill']","['salesman', 'hospitality', 'communication skills']"
"['Academic Discipline', 'Education Level', 'Academic Discipline', 'Soft Skill', 'Soft Skill', 'Solution', 'Solution', 'Solution']","['microsoft office', 'university degree', 'powerengineering', 'communication skills', 'teamwork', 'power engineering', 'autocad', 'excel']"
"['Position', 'Position', 'Work Activity', 'Programming Language', 'Programming Language', 'Programming Language']","['mysql', 'programming', 'software engineer', 'php', 'html', 'javascript']"
"['Position', 'Position', 'Position', 'Industry', 'Education Level', 'Industry', 'Business Function', 'Soft Skill', 'Soft Skill', 'Work Activity', 'Management', 'Industry', 'Management', 'Business Function']","['organizational skills', 'project coordinator', 'director', 'manager', 'university degree', 'team work', 'public relations', 'communication skills', 'software', 'human rights', 'planning', 'media', 'management', 'communications']"
['Industry'],['sales']
"['Industry', 'Industry', 'Management']","['management', 'organizing', 'hospitality']"
"['Position', 'Industry', 'Industry', 'Industry', 'Position', 'Soft Skill', 'Academic Discipline', 'Industry', 'Management', 'Industry', 'Soft Skill', 'Soft Skill', 'Education Level']","['knowledge management', 'insurance', 'energy', 'organizational abilities', 'manager', 'constructive attitude', 'university degree', 'leadership', 'written communication', 'automotive', 'adaptability', 'transportation', 'administrative associate']"
"['Position', 'Position', 'Position', 'Position', 'Business Function', 'Management', 'Management', 'Industry', 'Work Activity', 'Management', 'Position', 'Management', 'Business Function', 'Management', 'Management', 'Business Function', 'Management', 'Industry']","['human resources', 'hr', 'resource management', 'director', 'analysis', 'manager', 'university degree', 'interpersonal skills', 'negotiation', 'ms word', 'teamwork', 'organizing', 'planning', 'excel', 'leadership', 'transportation', 'management', 'communications']"
"['Position', 'Position', 'Position', 'Position', 'Position', 'Management', 'Position', 'Management', 'Management', 'Management', 'Management', 'Management']","['resource management', 'chief accountant', 'director', 'manager', 'resources management', 'university degree', 'teamwork', 'software', 'banking', 'leadership', 'management', 'interpersonal skills']"
"['Education Level', 'Education Level']","[""bachelors'"", ""masters' degree""]"
"['Industry', 'Position', 'Industry', 'Industry', 'Industry', 'Education Level', 'Industry']","['director', 'analysis', 'project management', 'written communication', ""bachelors' degree"", 'management', 'communications']"
['Soft Skill'],['communication skills']
['Industry'],['banking']
"['Position', 'Position', 'Soft Skill', 'Industry']","['receptionist', 'insurance', 'software', 'communication skills']"
"['Industry', 'Position']","['manager', 'insurance']"
"['Position', 'Solution', 'Industry']","['ms office', 'software', 'administrative assistant']"
"['Position', 'Position', 'Industry', 'Industry']","['government', 'media', 'director', 'organizational skills']"
"['Position', 'Position', 'Education Level', 'Soft Skill', 'Solution']","['negotiation', 'ms word', 'college degree', 'excel', 'salesperson']"
"['Management', 'Platform', 'Solution', 'Solution']","['ms office', 'windows', 'management', 'excel']"
"['Position', 'Education Level', 'Management', 'Solution']","['ms office', 'university degree', 'senior procurement officer', 'management']"
"['Position', 'Position', 'Industry', 'Industry', 'Business Function', 'Industry', 'Industry', 'Industry', 'Industry', 'Industry', 'Academic Discipline']","['market research', 'sales', 'university degree', 'communication skills', 'distribution', 'financial services', 'marketing manager', 'leadership', 'media', 'management', 'scheduling']"
"['Position', 'Industry', 'Soft Skill', 'Management']","['communication specialist', 'management', 'communications', 'communication skills']"
"['Position', 'Position', 'Management', 'Management', 'Work Activity', 'Management', 'Position', 'Management', 'Soft Skill', 'Management', 'Work Activity']","['visualize', 'programming', 'documenting', 'teamwork', 'public relations', 'program coordinator', 'planning', 'leadership', 'strategic planning', 'management', 'agriculture']"
"['Position', 'Industry', 'Solution', 'Business Function']","['ms office', 'banking', 'hr', 'lawyer']"
"['Position', 'Management', 'Position', 'Industry', 'Education Level', 'Industry']","['hr', 'manager', ""bachelor's"", 'banking', ""bachelor's degree"", 'management']"
"['Position', 'Position', 'Position', 'Business Function', 'Position', 'Soft Skill', 'Position', 'Industry', 'Position', 'Industry', 'Work Activity', 'Industry', 'Position', 'Business Function', 'Position', 'Industry', 'Business Function', 'Position']","['lotus notes', 'hr', 'insurances', 'director', 'manager', 'responsibility', 'logistics', 'written and oral communication', 'public relations', 'software', 'organizing', 'excel', 'business management', 'presentation', 'receptionist', 'management', 'interpersonal skills', 'accountant']"
"['Industry', 'Position', 'Industry', 'Position', 'Business Function']","['sales', 'manager', 'market development', 'marketing manager', 'retail']"
"['Industry', 'Industry']","['accountant', 'sales']"
"['Academic Discipline', 'Academic Discipline', 'Soft Skill', 'Management']","['organizational skills', 'excel', 'pharmacy', 'communication skills']"
"['Soft Skill', 'Solution', 'Business Function', 'Education Level', 'Academic Discipline', 'Standard/Technology', 'Standard/Technology', 'Solution', 'Solution']","['lotus notes', 'university degree', 'domino', 'computer science', 'ms office', 'database administration', 'dns', 'tcp/ip', 'troubleshooting']"
"['Management', 'Management', 'Work Activity', 'Work Activity', 'Competency', 'Management', 'Management', 'Management', 'Work Activity', 'Work Activity', 'Management', 'Competency', 'Management', 'Management']","['knowledge management', 'programming', 'energy', 'responsibility', 'constructive attitude', 'university degree', 'ms word', 'leadership', 'data processing', 'software', 'planning', 'adaptability', 'excel', 'management']"
"['Position', 'Education Level', 'Solution']","['university degree', 'receptionist', 'excel']"
"['Work Activity', 'Work Activity', 'Academic Discipline', 'Management']","['organizing', 'planning', 'organizational abilities', 'mechanics']"
"['Position', 'Industry', 'Position', 'Industry', 'Management']","['manufacturing', 'manager', 'communication skiles', 'technology', 'organizational abilities']"
"['Position', 'Business Function', 'Business Function', 'Management', 'Industry', 'Education Level', 'Academic Discipline', 'Platform', 'Industry', 'Platform', 'Soft Skill']","['uml', 'windows', 'software development', 'computer science', 'software', 'software developer', 'bachelors degree', 'technology', 'unix', 'management', 'problem-solving']"
"['Position', 'Position']","['team worker', 'accountant']"
"['Platform', 'Platform', 'Platform', 'Platform', 'Platform']","['windows', 'linux', 'windows os', 'unix', 'entertainment']"
"['Industry', 'Industry', 'Business Function', 'Solution', 'Solution', 'Business Function']","['hr', 'marketresearch', 'ms word', 'banking', 'media', 'excel']"
"['Position', 'Position', 'Work Activity', 'Standard/Technology', 'Solution', 'Academic Discipline', 'Academic Discipline', 'Academic Discipline', 'Standard/Technology', 'Standard/Technology', 'Academic Discipline', 'Programming Language', 'Programming Language', 'Industry']","['project coordinator', 'analysis', 'algorithms', 'project management', 'php', 'communication skills', 'html', 'search engine', 'planning', 'technology', '`projectmanager', 'excel', 'entertainment', 'project manager']"
"['Industry', 'Industry', 'Industry', 'Industry', 'Position', 'Education Level', 'Academic Discipline', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Platform', 'Management', 'Work Activity']","['c/ c++', 'programming', 'sales', 'university degree', 'php', 'computer science', 'perl', 'software', 'linux', 'technology', 'sql', 'java', 'organisational skills', 'entertainment', 'project manager']"
"['Position', 'Industry', 'Position', 'Industry', 'Soft Skill', 'Management', 'Management', 'Industry', 'Academic Discipline', 'Education Level', 'Management']","['entertainment', 'sales', 'manager', 'responsibility', 'university degree', 'communication abilities', 'organisational skills', 'leadership', 'information management', 'management', 'account management']"
"['Position', 'Soft Skill', 'Industry']","['manager', 'entertainment', 'communication skills']"
"['Position', 'Position']","['director', 'communication skills']"
"['Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Industry', 'Standard/Technology', 'Programming Language']","['mysql', 'jsp', 'xml', 'php', 'c++', 'html', 'linux', 'technology', 'java', 'entertainment']"
"['Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Industry', 'Standard/Technology', 'Programming Language', 'Programming Language', 'Programming Language']","['mysql', 'jsp', 'xml', 'php', 'c++', 'html', 'linux', 'technology', 'java', 'entertainment']"
"['Standard/Technology', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Industry', 'Standard/Technology']","['mysql', 'jsp', 'xml', 'php', 'c++', 'html', 'linux', 'technology', 'java', 'entertainment']"
"['Programming Language', 'Programming Language', 'Programming Language', 'Industry', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Industry']","['mysql', 'jsp', 'xml', 'php', 'c++', 'software', 'html', 'linux', 'technology', 'java', 'entertainment']"
"['Programming Language', 'Industry', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Industry', 'Standard/Technology', 'Programming Language', 'Programming Language', 'Programming Language']","['mysql', 'jsp', 'xml', 'c/c++', 'php', 'c++', 'software', 'html', 'linux', 'technology', 'java', 'entertainment']"
"['Programming Language', 'Industry', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Industry', 'Standard/Technology', 'Programming Language', 'Programming Language']","['mysql', 'jsp', 'xml', 'php', 'c++', 'software', 'html', 'linux', 'technology', 'java', 'entertainment']"
"['Programming Language', 'Industry', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Industry', 'Standard/Technology', 'Programming Language']","['mysql', 'jsp', 'xml', 'php', 'c++', 'software', 'html', 'linux', 'technology', 'java', 'entertainment']"
"['Industry', 'Industry', 'Industry', 'Industry', 'Competency']","['financial markets', 'government', 'statistical analysis', 'banking', 'financial sector']"
"['Position', 'Academic Discipline', 'Soft Skill', 'Academic Discipline', 'Industry', 'Work Activity', 'Programming Language']","['programming', 'software engineer', 'analysis', 'c++', 'problem solving', 'communications', 'math']"
['Education Level'],['university degree']
"['Industry', 'Education Level', 'Soft Skill', 'Soft Skill', 'Soft Skill', 'Industry', 'Platform', 'Solution']","['team-work', 'university degree', 'windows', 'written and oral communication', 'communication skills', 'software', 'distribution', 'excel']"
"['Position', 'Position', 'Position', 'Management', 'Management', 'Education Level', 'Academic Discipline', 'Industry', 'Platform', 'Platform', 'Platform', 'Soft Skill', 'Standard/Technology']","['manager', 'windows', 'computer science', 'software', 'systems administrator', 'bachelors degree', 'proxy/firewall', 'technology', 'tcp/ip', 'database systems', 'troubleshooting', 'management', 'attention to detail']"
"['Position', 'Position']","['designer', 'photoshop']"
"['Position', 'Business Function', 'Standard/Technology', 'Standard/Technology', 'Framework/Library', 'Programming Language', 'Programming Language', 'Framework/Library', 'Database', 'Programming Language', 'Programming Language', 'Programming Language', 'Academic Discipline', 'Soft Skill', 'Industry', 'Work Activity', 'Standard/Technology']","['asp', 'jsp', 'programming', 'com+', 'servlets', 'xml', 'analysis', 'asp.net', 'software development', 'microsoft sql server', 'html', 'c#', 'web developer', 'javascript', 'problem solving', 'communications', 'asp .net']"
"['Business Function', 'Industry', 'Education Level', 'Programming Language', 'Database', 'Platform', 'Solution']","['mysql', 'quality assurance', 'university degree', 'tomcat', 'linux', 'banking', 'java']"
"['Position', 'Position', 'Education Level', 'Management']","['university degree', 'technical coordinator', 'management', 'flexibility']"
"['Education Level', 'Soft Skill']","['university degree', 'flexibility']"
"['Education Level', 'Management', 'Management', 'Soft Skill']","['university degree', 'flexibility', 'management', 'business management']"
['Industry'],['sales']
"['Position', 'Education Level', 'Management', 'Soft Skill']","['university degree', 'technical coordinator', 'management', 'flexibility']"
"['Position', 'Position', 'Education Level', 'Management']","['university degree', 'technical coordinator', 'management', 'flexibility']"
"['Position', 'Position', 'Position', 'Management', 'Management']","['ios', 'cisco', 'network administrator', 'linux', 'management']"
"['Platform', 'Management', 'Academic Discipline']","['statistics', 'linux', 'management']"
"['Industry', 'Education Level', 'Solution']","['excel', 'financial services', 'university ba degree']"
"['Industry', 'Position', 'Industry', 'Position', 'Industry', 'Position', 'Industry', 'Industry']","['market research', 'positive attitude', 'sales', 'distribution', 'marketing manager', 'media', 'retail', 'scheduling']"
"['Position', 'Soft Skill']","['manager', 'communication skills']"
"['Position', 'Position', 'Education Level', 'Industry', 'Soft Skill']","['senior lawyer', 'university degree', 'communication skills', 'team player', 'software']"
"['Academic Discipline', 'Academic Discipline', 'Work Activity', 'Management', 'Management', 'Industry', 'Academic Discipline']","['programming', 'algorithms', 'logic', 'software', 'organizing', 'physics', 'management']"
"['Education Level', 'Soft Skill']","['university degree', 'communication skills']"
['Industry'],['sales']
"['Position', 'Position', 'Competency', 'Business Function', 'Academic Discipline', 'Industry', 'Programming Language', 'Programming Language', 'Framework/Library', 'Database', 'Database', 'Database', 'Education Level', 'Programming Language', 'Framework/Library', 'Programming Language']","['vb', 'mysql', 'analysis', 'c/c++', 'relational databases', 'university degree', 'software development life-cycle', 'unix', 'software development', 'software', 'linux', 'c#', '.net', 'mssql', 'senior software engineer', '.net developer']"
"['Academic Discipline', 'Academic Discipline', 'Education Level', 'Academic Discipline', 'Platform', 'Platform', 'Management', 'Database', 'Solution', 'Industry', 'Programming Language', 'Programming Language', 'Database']","['mysql', 'information technology', 'sql server', 'masters degree', 'director', 'windows', 'php', 'computer science', 'ms office', 'software', 'html', 'management', 'information systems']"
"['Programming Language', 'Programming Language', 'Standard/Technology']","['distributed network', 'python', 'software development']"
"['Industry', 'Programming Language', 'Industry', 'Industry', 'Industry', 'Position']","['information technology', 'director', 'software', 'linux', 'unix', 'scheme']"
"['Education Level', 'Soft Skill']","['university degree', 'communication skills']"
"['Management', 'Position', 'Business Function', 'Soft Skill', 'Academic Discipline', 'Business Function', 'Management', 'Business Function', 'Management']","['organizational skills', 'human resources', 'conceptual thinking', 'hr', 'director', 'responsibility', 'ms office', 'management', 'psychology']"
"['Industry', 'Business Function', 'Academic Discipline', 'Industry', 'Industry', 'Soft Skill', 'Solution']","['market research', 'hr', 'analysis', 'ms word', 'communication skills', 'media', 'excel']"
"['Position', 'Position', 'Position', 'Industry', 'Industry', 'Management', 'Industry', 'Industry', 'Business Function', 'Industry', 'Management']","['market research', 'analysis', 'sales', 'university degree', 'public relations', 'sense of urgency', 'distribution', 'planning', 'marketing manager', 'management', 'communications']"
"['Position', 'Position', 'Industry', 'Business Function', 'Solution']","['sales', 'content development', 'software', 'excel', 'product manager']"
"['Position', 'Position', 'Industry', 'Industry', 'Industry', 'Industry', 'Education Level', 'Academic Discipline', 'Business Function', 'Academic Discipline', 'Industry', 'Business Function', 'Management', 'Database', 'Database', 'Academic Discipline', 'Standard/Technology', 'Management', 'Soft Skill', 'Soft Skill']","['organizational skills', 'project coordinator', 'analysis', 'university degree', 'it specialist', 'mathematics', 'system administration', 'oracle', 'computer science', 'teamwork', 'software engineering', 'operating systems', 'software', 'government', 'attention to details', 'technology', 'human trafficking', 'tcp/ip', 'mssql', 'management']"
"['Position', 'Position', 'Education Level', 'Position']","['university degree', 'receptionist', 'director', 'communication skills']"
"['Position', 'Programming Language', 'Database', 'Programming Language', 'Solution']","['programmer', 'sql server', 'ms access', 'visual basic', 'sql']"
"['Education Level', 'Academic Discipline', 'Solution', 'Solution', 'Soft Skill', 'Work Activity', 'Position', 'Industry']","['programming', 'director', 'university degree', 'team work', 'ms word', 'statistics', 'government', 'excel']"
['Soft Skill'],['communication skills']
"['Education Level', 'Soft Skill', 'Soft Skill', 'Soft Skill', 'Industry', 'Platform']","['team-work', 'university degree', 'windows', 'written and oral communication', 'communication skills', 'software']"
"['Industry', 'Soft Skill']","['logistics', 'communication skills']"
"['Education Level', 'Soft Skill', 'Work Activity', 'Position', 'Industry']","['programming', 'director', 'university degree', 'team work', 'government']"
['Position'],['manager']
['Position'],['designer']
"['Position', 'Platform', 'Academic Discipline', 'Platform', 'Soft Skill', 'Management', 'Solution']","['network systems', 'microsoft office', 'windows', 'systems administrator', 'organisational skills', 'management', 'interpersonal skills']"
"['Programming Language', 'Position', 'Business Function', 'Programming Language', 'Programming Language', 'Business Function', 'Work Activity', 'Position', 'Standard/Technology', 'Standard/Technology', 'Standard/Technology', 'Platform', 'Database', 'Database', 'Academic Discipline', 'Soft Skill', 'Soft Skill', 'Soft Skill', 'Soft Skill', 'Business Function']","['problem solving', 'jsp', 'professionalism', 'information technology', 'j2ee', 'servlets', 'algorithms', 'crm', 'responsibility', 'oracle', 'java developer', 'software development', 'senior developer', 'ejb', 'software', 'ms sql', 'planning', 'technology', 'java', 'management']"
"['Position', 'Business Function', 'Business Function', 'Industry', 'Business Function', 'Academic Discipline', 'Work Activity', 'Soft Skill', 'Platform', 'Platform', 'Database', 'Database', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Business Function', 'Soft Skill', 'Business Function']","['sql server', 'oracle', 'software development', 'planning', 'tsql', 'java', 'vb', 'analysis', 'quality assurance', 'team work', 'crm', 'xml', 'responsibility', 'quality assurance engineer', 'javascript', 'management', 'information technology', 'windows', 'technical writing', 'software', 'html', 'unix']"
"['Position', 'Business Function', 'Programming Language', 'Programming Language', 'Business Function', 'Standard/Technology', 'Standard/Technology', 'Standard/Technology', 'Platform', 'Database', 'Database', 'Academic Discipline', 'Soft Skill', 'Soft Skill', 'Soft Skill', 'Business Function', 'Management']","['jsp', 'professionalism', 'information technology', 'j2ee', 'servlets', 'algorithms', 'crm', 'responsibility', 'oracle', 'java developer', 'software development', 'ejb', 'software', 'ms sql', 'technology', 'java', 'management']"
"['Soft Skill', 'Position', 'Soft Skill', 'Position', 'Academic Discipline', 'Industry', 'Platform']","['windows', 'honesty', 'statistics', 'communication skills', 'software', 'project developer', 'excel']"
"['Position', 'Business Function', 'Business Function', 'Work Activity', 'Position', 'Framework/Library', 'Framework/Library', 'Database', 'Database', 'Academic Discipline', 'Soft Skill', 'Soft Skill', 'Soft Skill', 'Soft Skill', 'Business Function', 'Management']","['information technology', 'professionalism', 'crm', 'algorithms', 'responsibility', 'oracle', 'asp.net', 'software development', 'senior developer', 'software', 'ms sql', 'planning', 'problem solving', 'management', '.net developer', 'ado.net']"
"['Position', 'Business Function', 'Business Function', 'Industry', 'Business Function', 'Soft Skill', 'Platform', 'Platform', 'Database', 'Database', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Business Function', 'Soft Skill', 'Soft Skill', 'Business Function']","['sql server', 'oracle', 'software development', 'tsql', 'java', 'vb', 'quality assurance', 'team work', 'crm', 'xml', 'responsibility', 'quality assurance engineer', 'javascript', 'management', 'information technology', 'windows', 'technical writing', 'team player', 'software', 'html', 'unix']"
"['Position', 'Position', 'Position', 'Industry', 'Management', 'Industry', 'Position']","['insurance', 'director', 'millitary', 'banking', 'university diploma', 'management', 'attorney']"
"['Management', 'Management', 'Education Level']","['university degree', 'management', 'team player']"
"['Management', 'Education Level', 'Academic Discipline', 'Academic Discipline', 'Work Activity', 'Solution', 'Soft Skill']","['college degree', 'team player', 'electricity', 'planning', 'mechanics', 'excel', 'management']"
"['Management', 'Work Activity']","['management', 'organizing']"
"['Position', 'Education Level', 'Academic Discipline', 'Solution', 'Programming Language', 'Programming Language', 'Framework/Library']","['programmer', 'university degree', 'visual basic', 'computer science', 'html', 'visual studio', 'aspx']"
"['Position', 'Business Function', 'Management', 'Management', 'Industry', 'Academic Discipline']","['human resources', 'cs', 'director', 'software development', 'software', 'management']"
"['Position', 'Position', 'Position', 'Position', 'Soft Skill', 'Soft Skill', 'Position', 'Position']","['organizational skills', 'masters degree', 'director', 'ms access', 'responsibility', 'software', 'excel', 'accountant']"
"['Industry', 'Business Function', 'Education Level', 'Academic Discipline', 'Framework/Library', 'Programming Language', 'Programming Language', 'Programming Language', 'Business Function', 'Academic Discipline', 'Platform', 'Platform', 'Standard/Technology', 'Soft Skill', 'Soft Skill', 'Management']","['organizational skills', 'vba', 'quality assurance', 'windows', 'visual basic', 'nunit', 'computer science', 'software development', 'operating systems', 'software', 'communication skills', 'bachelors degree', 'c#.net', 'dns', 'problem solving', 'attention to detail']"
['Academic Discipline'],['pharmacy']
"['Position', 'Academic Discipline', 'Education Level']","['university degree', 'advertisingspecialist', 'analysis']"
"['Business Function', 'Position', 'Position', 'Business Function', 'Academic Discipline', 'Business Function', 'Management', 'Business Function', 'Management', 'Solution']","['organizational skills', 'human resources', 'conceptual thinking', 'hr', 'director', 'manager', 'ms office', 'human resource', 'management', 'psychology']"
"['Position', 'Position', 'Position', 'Soft Skill']","['manager', 'ms office', 'quality specialist', 'communication skills']"
"['Position', 'Industry', 'Industry', 'Industry', 'Industry', 'Soft Skill', 'Management', 'Industry', 'Industry', 'Management', 'Education Level', 'Education Level', 'Industry']","['sales manager', 'conflict management', 'microsoft office', 'loyalty', 'sales', 'university degree', 'high school diploma', 'software', 'time management', 'relationship management', 'leadership', 'management', 'account management']"
"['Soft Skill', 'Position', 'Management', 'Management', 'Soft Skill']","['director', 'responsibility', 'government', 'management', 'interpersonal skills']"
