labels,entities
"['Position', 'Position', 'Academic Discipline', 'Management']","['program manager', 'management', 'government', 'psychology']"
"['Industry', 'Academic Discipline', 'Industry', 'Industry']","['agriculture', 'responsibility', 'agribusiness', 'information systems']"
"['Business Function', 'Management', 'Business Function', 'Management', 'Management', 'Management', 'Business Function', 'Management', 'Management']","['organizational skills', 'hr', 'quality assurance', 'ms word', 'communication skills', 'attention to detail', 'leadership', 'excel', 'management']"
"['Industry', 'Industry', 'Education Level', 'Platform', 'Programming Language', 'Work Activity', 'Programming Language']","['information technologies', 'programming', 'university degree', 'windows', 'military', 'ms-office', 'v. basic']"
['Soft Skill'],['interpersonal skills']
"['Industry', 'Solution', 'Solution', 'Soft Skill']","['excel', 'ms word', 'distribution', 'interpersonal skills']"
"['Position', 'Business Function', 'Position', 'Management']","['human resources', 'receptionist', 'management', 'c']"
"['Position', 'Position', 'Management', 'Position', 'Management', 'Management', 'Position']","['director', 'manager', 'written communication', 'programs manager', 'leadership', 'strategic planning', 'project manager']"
['Education Level'],['university diploma']
"['Position', 'Position', 'Education Level', 'Industry', 'Competency', 'Soft Skill']","['hr', 'university degree', 'written communication', 'data processing', 'banking', 'accountant']"
"['Industry', 'Management', 'Management', 'Industry']","['t&d', 'management', 'organizing', 'banking']"
"['Management', 'Industry', 'Management', 'Management', 'Education Level', 'Management', 'Soft Skill', 'Solution', 'Management', 'Soft Skill', 'Management']","['organizational skills', 'public speaking', 'project management', ""master's degree"", 'ms office', 'inter-personal skills', 'planning', 'staffing', 'leadership', 'management', 'communications']"
"['Industry', 'Industry', 'Industry', 'Industry', 'Position', 'Industry', 'Industry', 'Industry', 'Academic Discipline']","['microsoft office suite', 'director', 'control systems', 'related engineering', 'communication skills', 'autocad', 'mechanical engineering', 'management', 'manufacturing']"
"['Education Level', 'Programming Language', 'Soft Skill']","['university degree', 'sense of responsibility', 'c']"
"['Position', 'Position', 'Work Activity']","['manager', 'organizing', 'team spirit']"
"['Management', 'Management', 'Education Level', 'Management']","['project management', 'university degree', 'management', 'communication skills']"
"['Solution', 'Solution']","['ms office', 'excel']"
"['Position', 'Position', 'Industry', 'Work Activity', 'Industry', 'Position', 'Management']","['programming', 'director', 'logistics', 'government', 'organizing', 'planning', 'leadership']"
"['Position', 'Position', 'Position', 'Management']","['project management', 'willing to work', 'management', 'director']"
"['Position', 'Position', 'Industry', 'Soft Skill', 'Solution']","['sense of organisating', 'administrative assistant', 'communication skills', 'excel', 'communications']"
['Academic Discipline'],['analyses']
"['Position', 'Position', 'Industry', 'Position', 'Industry', 'Education Level', 'Soft Skill', 'Industry', 'Solution']","['project coordinator', 'manager', 'university degree', 'sense of responsibility', 'ms word', 'government', 'software', 'excel', 'management']"
"['Position', 'Industry', 'Soft Skill']","['communication skills', 'salesman', 'sales']"
"['Business Function', 'Industry', 'Business Function', 'Business Function', 'Programming Language']","['c', 'public relations', 'media', 'communications', 'public outreach']"
"['Education Level', 'Industry']","['university degree', 'software']"
"['Industry', 'Programming Language', 'Standard/Technology', 'Standard/Technology', 'Business Function', 'Programming Language', 'Business Function', 'Standard/Technology', 'Programming Language']","['jsp', 'j2ee', 'xml', 'soap', 'software development', 'software', 'technology', 'java', 'uml']"
"['Academic Discipline', 'Academic Discipline']","['analyses', 'leadership']"
"['Work Activity', 'Industry', 'Industry', 'Management', 'Management', 'Academic Discipline']","['consultant', 'algorithms', 'government', 'dermatology', 'planning', 'management']"
"['Position', 'Soft Skill']","['presentation', 'director']"
"['Position', 'Position', 'Position', 'Position', 'Industry', 'Solution', 'Solution', 'Management', 'Academic Discipline', 'Position']","['', 'organizational skills', 'director', 'control systems', 'government', 'ms office', 'software', 'excel', 'management', 'accountant']"
"['Position', 'Position', 'Work Activity', 'Academic Discipline', 'Business Function', 'Work Activity', 'Industry', 'Management', 'Management', 'Position', 'Position', 'Soft Skill', 'Work Activity', 'Soft Skill', 'Solution']","['project coordinator', 'presentation', 'analysis', 'director', 'responsibility', 'microsoft office', 'web design', 'graphic design', 'listening', 'government', 'organizing', 'media', 'strategic planning', 'management', 'public outreach']"
"['Position', 'Position', 'Competency', 'Solution']","['graphic design', 'designer', 'adobe illustrator', 'adobe photoshop']"
"['Position', 'Position', 'Industry', 'Industry', 'Soft Skill', 'Solution', 'Management', 'Soft Skill', 'Industry']","['organizational skills', 'director', 'microsoft office', 'logistics', 'administrative assistant', 'written communication', 'communication skills', 'government', 'media']"
"['Soft Skill', 'Soft Skill']","['written and oral communication', 'interpersonal skills']"
"['Industry', 'Industry', 'Work Activity']","['government', 'organizing', 'spring']"
"['Position', 'Position', 'Position', 'Industry', 'Position']","['director', 'logistics', 'ms word', 'program coordinator', 'excel']"
"['Position', 'Position', 'Position', 'Soft Skill', 'Industry', 'Position']","['consultant', 'energy', 'director', 'responsibility', 'cybernetics', 'technology']"
"['Position', 'Position', 'Soft Skill', 'Position', 'Position', 'Position', 'Position', 'Soft Skill', 'Business Function']","['human resources', 'human relations', 'manager', 'program manager', 'nutrition', 'program coordinator', 'team players', 'project assistant', 'interpersonal skills']"
"['Position', 'Position', 'Soft Skill', 'Position', 'Management', 'Position', 'Position', 'Management', 'Management', 'Position', 'Management']","['problem solving', 'human resources', 'masters degree', 'communication skills', 'program manager', 'government', 'nutrition', 'team players', 'leadership', 'management', 'project manager']"
"['Soft Skill', 'Position', 'Position', 'Management', 'Academic Discipline', 'Management', 'Position', 'Position', 'Industry', 'Academic Discipline']","['human resources', 'analysis', 'human relations', 'manager', 'government', 'nutrition', 'team players', 'management', 'project manager', 'interpersonal skills']"
"['Framework/Library', 'Industry', 'Industry', 'Industry', 'Soft Skill', 'Academic Discipline', 'Education Level', 'Solution', 'Solution']","['fireworks', 'dreamweaver', 'adobe photoshop', 'html', 'presentation', ""bachelor's degree"", 'multi-media', 'spring', 'communications']"
"['Position', 'Position', 'Position', 'Position', 'Management', 'Industry', 'Soft Skill', 'Solution', 'Solution']","['consultant', 'flexibility', 'microsoft office', 'interpersonal skills', 'transportation', 'management', 'project manager', 'excel', 'accountant']"
"['Soft Skill', 'Position']","['director', 'interpersonal skills']"
"['Position', 'Academic Discipline', 'Position', 'Academic Discipline']","['manager', 'director', 'interpersonal skills', 'information systems']"
"['Position', 'Soft Skill', 'Position']","['director', 'interpersonal skills', 'program specialist']"
"['Soft Skill', 'Position']","['director', 'interpersonal skills']"
"['Position', 'Management', 'Position', 'Work Activity', 'Academic Discipline', 'Soft Skill', 'Education Level', 'Position', 'Soft Skill', 'Industry', 'Solution']","['project coordinator', 'analysis', 'administrative support', 'responsibility', 'university degree', 'ms word', 'communication skills', 'software', 'organizing', 'excel', 'management']"
"['Position', 'Position', 'Business Function', 'Management', 'Academic Discipline', 'Position', 'Industry', 'Industry', 'Business Function', 'Industry', 'Business Function', 'Industry', 'Academic Discipline', 'Academic Discipline', 'Education Level', 'Education Level', 'Business Function', 'Programming Language', 'Programming Language', 'Database', 'Standard/Technology', 'Standard/Technology', 'Standard/Technology', 'Competency', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language']","['knowledge management', 'jsp', 'servlets', 'multi-task', 'software development', 'computer science', 'software developer', 'database systems', 'java', 'vb', 'j2ee', 'manager', 'quality assurance', ""master's degree"", 'programming languages', 'business intelligence', 'sql', 'attention to detail', 'information management', 'problem-solving', 'organizational skills', 'xml', 'php', 'c++', ""bachelor's degree"", 'information technology', 'asp', 'software', 'html']"
['Soft Skill'],['interpersonal skills']
"['Industry', 'Industry', 'Solution', 'Standard/Technology', 'Soft Skill']","['cd', 'distribution', 'logistical', 'excel', 'interpersonal skills']"
"['Position', 'Management', 'Academic Discipline', 'Industry', 'Education Level', 'Industry', 'Solution', 'Solution', 'Soft Skill', 'Position']","['project coordinator', 'analysis', 'university degree', 'team work', 'ms word', 'software', 'defence', 'excel', 'management', 'project manager']"
"['Position', 'Position', 'Position', 'Management']","['manager', 'management', 'interpersonal skills', 'problem solving']"
"['Academic Discipline', 'Soft Skill']","['mental health', 'communication skills']"
"['Industry', 'Soft Skill', 'Soft Skill']","['professionalism', 'military', 'courage']"
"['Position', 'Position', 'Education Level']","['university degree', 'administrative assistant', 'presentation']"
"['Business Function', 'Education Level', 'Industry', 'Management', 'Programming Language']","['human resources', 'c', 'university degree', 'government', 'management']"
"['Position', 'Position', 'Solution']","['ms office', 'project manager', 'human resources']"
"['Solution', 'Position', 'Solution']","['human resources', 'autocad', 'project manager']"
['Academic Discipline'],['chemistry']
"['Position', 'Position', 'Soft Skill']","['time management', 'administrative assistant', 'communication skills']"
"['Industry', 'Industry', 'Industry', 'Academic Discipline', 'Academic Discipline', 'Industry', 'Academic Discipline', 'Academic Discipline', 'Industry', 'Industry', 'Soft Skill']","['neuropsychology', 'information technology', 'biotechnology', 'artificial intelligence', 'communication skills', 'neurophysiology', 'nanotechnology', 'technology', 'counsel', 'media', 'r&d']"
"['Position', 'Management', 'Education Level', 'Management', 'Industry', 'Management', 'Soft Skill', 'Soft Skill', 'Soft Skill', 'Business Function']","['hr', 'masters degree', 'negotiation', 'communication skills', 'government', 'nutrition', 'leadership', 'management', 'project manager', 'problem-solving']"
"['Industry', 'Position', 'Education Level', 'Business Function', 'Business Function', 'Soft Skill', 'Solution', 'Solution']","['human resources', 'masters degree', 'director', 'ms access', 'agribusiness', 'public relations', 'communication skills', 'excel']"
"['Position', 'Position', 'Position', 'Position', 'Position', 'Work Activity', 'Work Activity', 'Management', 'Soft Skill', 'Soft Skill', 'Soft Skill']","['organizational skills', 'responsibility', 'project officer', 'ms word', 'program manager', 'administrative officer', 'organizing', 'planning', 'attention to details', 'excel', 'interpersonal skills']"
"['Industry', 'Industry', 'Solution', 'Solution', 'Education Level', 'Management']","['organizational skills', 'university degree', 'logistics', 'ms word', 'excel', 'agriculture']"
['Position'],['game developer']
"['Position', 'Management', 'Management', 'Management', 'Business Function', 'Work Activity', 'Industry', 'Management', 'Management', 'Work Activity', 'Position']","['problem solving', 'programming', 'director', 'negotiation', ""master's degree"", 'government', 'human resource', 'university diploma', 'planning', 'leadership', 'management']"
"['Industry', 'Position', 'Position', 'Management', 'Management', 'Position']","['organizational skills', 'director', 'graphic design', 'leadership', 'media', 'management']"
"['Industry', 'Academic Discipline', 'Academic Discipline', 'Education Level', 'Education Level', 'Competency', 'Programming Language', 'Programming Language', 'Programming Language']","['vb', 'information technology', ""master's degree"", 'programming languages', 'military', 'computer science', 'ms office', 'c++', ""bachelor's degree""]"
"['Position', 'Position', 'Work Activity', 'Soft Skill']","['human recourses', 'marketing specialist', 'team spirit', 'organizing']"
"['Position', 'Position', 'Position', 'Industry', 'Position', 'Position']","['flexibility', 'director', 'logistics', 'communication skills', 'program coordinator', 'organizing']"
"['Position', 'Business Function', 'Academic Discipline', 'Academic Discipline', 'Education Level', 'Education Level', 'Database', 'Business Function', 'Programming Language', 'Industry', 'Programming Language', 'Work Activity', 'Programming Language', 'Database', 'Industry', 'Management']","['oracle database', 'information technology', 'programming', 'organizational skills', 'multi-task', 'it specialist', ""master's degree"", 'database design', 'software development', 'computer science', 'software', 'sql', 'attention to detail', 'java', ""bachelor's degree"", 'problem-solving']"
"['Industry', 'Management']","['government', 'management']"
['Business Function'],['human rights']
"['Position', 'Position', 'Education Level', 'Industry', 'Competency']","['university degree', 'written communication', 'data processing', 'banking', 'accountant']"
"['Soft Skill', 'Position', 'Soft Skill', 'Position', 'Academic Discipline', 'Academic Discipline', 'Solution']","['consultant', 'conflict management', 'analysis', 'communication skills', 'government', 'ms office', 'willing to work']"
"['Position', 'Position', 'Academic Discipline', 'Academic Discipline', 'Education Level', 'Education Level', 'Competency', 'Programming Language', 'Programming Language', 'Programming Language', 'Management', 'Soft Skill', 'Soft Skill']","['organizational skills', 'information technology', 'designer', 'web design', 'multi-task', ""master's degree"", 'php', 'computer science', 'html', 'javascript', 'attention to detail', ""bachelor's degree"", 'problem-solving']"
"['Education Level', 'Industry', 'Management', 'Academic Discipline', 'Industry', 'Academic Discipline', 'Academic Discipline', 'Academic Discipline']","['insurance', 'mathematics', 'computer science', 'banking', 'ph.d.', 'physics', 'management', 'chemistry']"
['Business Function'],['human rights']
"['Business Function', 'Industry', 'Soft Skill', 'Industry']","['government', 'communication skills', 'communications', 'public relations']"
"['Position', 'Management', 'Management', 'Management', 'Academic Discipline']","['manager', 'control systems', 'communication skills', 'problem solving', 'management']"
"['Business Function', 'Industry', 'Soft Skill', 'Position', 'Industry']","['communication skills', 'program manager', 'government', 'public relations', 'communications']"
"['Position', 'Position', 'Position', 'Position', 'Education Level', 'Industry']","['organizational skills', 'director', 'university degree', 'excel', 'financial sector', 'accountant']"
"['Position', 'Education Level', 'Academic Discipline', 'Industry', 'Solution', 'Solution', 'Management']","['manager', 'university degree', 'ms word', 'software', 'excel', 'management', 'civil engineering']"
"['Industry', 'Position', 'Position', 'Position', 'Position', 'Position', 'Position', 'Industry', 'Industry', 'Management', 'Management']","['director', 'project management', 'university degree', 'negotiation', 'agribusiness', 'teamwork', 'communication skills', 'planning', 'excel', 'management', 'agriculture']"
