user_id,skill
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
1,29
1,30
1,31
1,32
1,22
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,24
1,6
1,51
1,52
1,53
2,54
2,55
2,56
2,57
2,22
2,36
2,35
2,58
2,34
2,59
2,60
2,38
2,61
2,62
2,43
2,44
2,63
2,64
2,37
2,65
2,66
2,48
2,25
2,18
2,24
2,67
2,5
3,68
3,69
3,70
3,57
3,22
3,36
3,35
3,58
3,34
3,59
3,60
3,38
3,61
3,62
3,43
3,44
3,63
3,64
3,37
3,65
3,66
3,48
3,25
3,18
3,24
3,67
3,5
4,71
4,72
4,73
4,74
4,75
4,22
4,32
4,34
4,63
4,76
4,77
4,43
4,61
4,62
4,36
4,38
4,37
4,42
4,65
4,78
4,79
4,80
4,60
4,14
4,24
4,67
4,81
5,82
5,83
5,84
5,9
5,6
5,80
5,14
5,27
5,85
5,19
5,17
5,86
5,18
5,16
5,12
5,87
5,88
5,3
5,24
5,15
5,89
5,90
5,76
5,91
5,4
5,28
6,92
6,82
6,93
6,94
6,6
6,22
6,34
6,35
6,32
6,36
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
6,24
6,53
7,48
7,95
7,96
7,74
7,22
7,32
7,34
7,3
7,97
7,63
7,76
7,77
7,36
7,43
7,61
7,62
7,42
7,65
7,78
7,79
7,80
7,60
7,14
7,24
7,67
8,98
8,99
8,100
8,101
8,38
8,61
8,62
8,43
8,44
8,59
8,97
8,22
8,34
8,36
8,37
8,65
8,7
8,79
8,51
8,35
8,102
8,6
8,103
8,48
8,5
9,104
9,105
9,106
9,101
9,38
9,61
9,62
9,43
9,44
9,59
9,97
9,22
9,34
9,36
9,37
9,65
9,7
9,79
9,51
9,35
9,102
9,6
9,103
9,48
9,5
10,71
10,107
10,46
10,13
10,6
10,4
10,19
10,86
10,8
10,108
10,109
10,11
10,110
10,9
10,111
10,112
10,21
10,113
10,12
10,114
10,7
10,35
10,79
10,89
10,25
11,115
11,116
11,117
11,108
11,19
11,118
11,109
11,12
11,16
11,9
11,119
11,96
11,76
11,120
11,27
11,121
11,122
11,110
11,25
11,123
11,67
11,124
11,79
11,32
12,96
12,125
12,126
12,127
12,101
12,61
12,62
12,43
12,44
12,38
12,59
12,45
12,22
12,34
12,36
12,7
12,79
12,51
12,35
12,102
12,6
12,103
12,48
12,5
13,128
13,0
13,129
13,130
13,75
13,22
13,131
13,36
13,15
13,12
13,34
13,32
13,37
13,38
13,61
13,62
13,43
13,132
13,7
13,79
13,51
13,35
13,102
13,5
14,133
14,134
14,135
14,127
14,101
14,61
14,62
14,43
14,44
14,38
14,59
14,45
14,22
14,34
14,36
14,7
14,79
14,24
14,51
14,35
14,102
14,6
14,103
14,48
15,32
15,136
15,137
15,130
15,75
15,22
15,131
15,36
15,15
15,12
15,34
15,32
15,37
15,38
15,61
15,62
15,43
15,132
15,7
15,79
15,24
15,51
15,35
15,102
16,138
16,139
16,140
16,13
16,6
16,4
16,19
16,86
16,8
16,108
16,109
16,11
16,110
16,9
16,112
16,21
16,113
16,12
16,114
16,7
16,35
16,79
16,89
16,25
17,141
17,142
17,143
17,19
17,9
17,22
17,144
17,12
17,16
17,27
17,53
17,110
17,108
17,85
17,6
17,15
17,86
17,17
17,121
17,145
17,21
17,7
17,102
17,13
18,146
18,147
18,148
18,149
18,22
18,10
18,150
18,151
18,42
18,61
18,62
18,43
18,97
18,38
18,37
18,147
18,65
18,152
18,153
18,77
18,6
18,67
18,25
19,154
19,155
19,156
19,126
19,22
19,32
19,34
19,63
19,76
19,77
19,43
19,61
19,62
19,42
19,65
19,78
19,79
19,80
19,60
19,14
19,24
19,67
19,81
20,56
20,81
20,36
20,130
20,75
20,22
20,131
20,36
20,15
20,12
20,34
20,32
20,37
20,38
20,61
20,62
20,43
20,132
20,7
20,79
20,51
20,35
20,102
21,157
21,158
21,159
21,149
21,22
21,34
21,97
21,160
21,25
21,161
21,162
21,77
21,61
21,62
21,43
21,151
21,65
21,42
21,44
21,80
21,24
